R-Number,R-Location,H-Number,H-Name,B-Price,Price,RTD Price,Rev RTD Pr,V4 RTD Pr,RSBF %,Rev RTG,T4,T5,T2,AvS3,BF Top5,Price Rnk,RS-NP Rnk,BF-P Rnk,P% Rnk,RSBF Rnk,TTL Rnk,Rev Rnk,V4 Rnk,DLR,NOR,P%,JH%,JR,L4R,TOL3R,R-Spd,RU&P,H-SpCat,H-ESpd,H-LSpd,A-S,Wgt,WC,DC,Barr,Rider,Trainer,RS-NP,BF-P,RSBF Price,Class,Class Chk,Price Rank,RSBF PRnk,Barr Rank,DTW,TOL3R Form,RD Pr/Barr,V4 Class,Pr/Barr,Wgt_1,Class_2,DTW-Cal,TOTAL,RATING,WW%,PRICE.1,V4 TOTAL,V4 RTG,V4 WW%,PRICE_3,Rev TOTAL,Rev RTG_4,Rev WW%,PRICE_5,
R2,GRAFTON,9,ITALIAN TUNE,$3.08,$13.00,$6.47,,$4.29,6.41%,0,4,4,7,3.75,5,4,5,4,4,4,3,4,4,21,56,30,12,3.9,9383,14,Average,11U-BK,Backmarker,0.11,3,8-G,55,0,-300,0,COURTNEY BELLAMY,P EVANS,11,20.2,15.6,4,4,3,3,0,0,2.5,2,2,2,2.75,-5,-5.5,6.75,6.75,15%,$6.47,9.25,9.25,23%,$4.29,-3.25,0,0%,"$1,000.00",
R2,GRAFTON,10,THE KING SLAYER,,$67.00,$11.58,,,1.81%,,5,6,11,5.25,0,6,5,6,6,6,5,,5,21,20,10,0,3.4,9966,21,Average,6U-M,Off-Pace,0.67,1,5-G,55,0,-300,3,L P ROLLS,MS J PRATTEN,11,99.72,55.36,5.5,5.5,1,1,0,0,-4.5,0,1,0,2.75,-5,-5.5,3.75,3.75,9%,$11.58,-0.75,0,0%,"$1,000.00",,,,,
R3,GRAFTON,1,BARRON,,$41.00,,,,1.25%,,9,7,17,5.5,0,8,2,10,3,10,9,,9,19,21,33,100,2.2,x737,17,Average,4U-M,Backmarker,0.13,4,5-G,59,5,6,2,NORIYUKI MASUDA,S PEPPER,4.4,155.85,80.125,2,2,2,1,0,0,-0.5,-4,5,-3,-1.75,0,-5.5,0.25,0.25,0%,$222.93,-1.25,0,0%,"$1,000.00",,,,,
R3,GRAFTON,2,MILLENNIUM PRAYER,,$26.00,$16.60,,$26.87,3.40%,0,7,8,14,6.25,0,7,6,7,5,7,7,8,8,122,5,20,0,4.3,305x,18,Average,FU-OM,Off-Pace,0.67,2,4-G,59,4,-304,3,K MATHESON,J SHELTON,14,44.82,29.41,0,,4,4,0,0,-1.5,-1,7,-1,-1.75,,-5.5,4.25,4.25,6%,$16.60,2.75,2.75,4%,$26.87,-9.75,0,0%,"$1,000.00",
R3,GRAFTON,3,PRINCE OF PROPHETS,,$4.00,$8.62,,$8.60,8.08%,0,3,5,7,3.5,0,2,7,2,6,5,5,6,6,214,3,0,0,4.1,458x,17,Average,FU-BK,Backmarker,0.07,4,4-G,59,1,-194,5,MATTHEW MCGUREN,SALLY TAYLOR,19,5.74,12.37,0,,8,9,0,0,-0.5,4,7,3,-1.75,,-5.5,8.25,8.25,12%,$8.62,8.75,8.75,12%,$8.60,-4.75,0,0%,"$1,000.00",
R3,GRAFTON,5,WESTERLY,,$41.00,,,$15.73,1.78%,0,8,8,16,6.25,0,8,10,8,3,8,8,7,7,575,12,33,100,1.9,339x,15,Average,FU-OM,Midfield,0.42,4,6-G,59,4.5,-94,3,D PEISLEY,C MANSON,31,81.53,56.265,0,,2,3,0,0,1.5,-2,7,-3,-1.75,,-5.5,2.25,2.25,3%,$30.89,4.75,4.75,6%,$15.73,-8.75,0,0%,"$1,000.00",
R3,GRAFTON,6,CHURCH ROCK,,$11.00,$12.32,$7.12,$4.95,9.45%,6.75,6,4,11,3,0,5,3,5,1,4,6,4,4,27,2,50,0,2.1,4x3,7,Average,SU-OM,Backmarker,0.17,5,3-G,57.5,3,0,7,MS SHAE WILKES,S LEE,5.5,15.66,10.58,-3.5,-3.5,6,6,1,0,9.5,-2,8,-2,-0.25,5,-5.5,5.75,5.75,8%,$12.32,15.25,15.25,20%,$4.95,6.75,6.75,14%,$7.12,
R3,GRAFTON,7,NEIL,$11.43,$3.50,$6.07,$6.21,$3.74,18.18%,7.75,1,2,3,1.5,0,1,4,1,6,2,2,3,2,152,1,0,0,4.1,8x,8,Average,FU-OP,Off-Pace,0.58,3,3-G,57.5,-0.5,-104,2,A MALLYON,M DUNN,8,3,5.5,0,,10,10,0,0,8.5,5,7,5,-0.25,,-5.5,11.75,11.75,16%,$6.07,20.25,20.25,27%,$3.74,7.75,7.75,16%,$6.21,
R3,GRAFTON,8,OLIVERSHARE,,$5.50,$8.13,$3.78,$2.88,11.23%,12.75,4,3,8,2,0,4,5,3,6,3,4,1,1,0,0,0,0,2.6,,0,Average,FU-,No Data,0.00,0,3-G,57.5,0,0,1,M CAHILL,D MCCOLM,12,5.81,8.905,0,,7,8,0,0,16.5,3,7,2,-0.25,,-5.5,8.75,8.75,12%,$8.13,26.25,26.25,35%,$2.88,12.75,12.75,26%,$3.78,
R3,GRAFTON,12,PRINCESS SHANGHAI,,$81.00,,,,1.49%,,10,10,20,8.25,0,10,9,9,6,9,10,,10,21,3,0,0,4.4,986,23,Average,4U-OM,Midfield,0.38,1,4-M,57,0,-254,4,COURTNEY BELLAMY,SAMANTHA MCGUREN,26,108.26,67.13,3,3,1,2,0,0,-6.5,-3,3,-4,0.25,-5,-5.5,-0.75,0,0%,"$1,000.00",-6.25,0,0%,"$1,000.00",,,,,
R3,GRAFTON,13,LUCKY NEKO,$10.00,$4.00,$5.19,$4.49,$3.93,20.66%,10.75,1,1,3,1,0,2,1,4,1,1,1,2,3,41,2,50,0,1.8,7x3,10,Average,SU-M,Midfield,0.46,3,3-F,55.5,0.5,-4,3,A ALLEN,M DUNN,3.5,6.18,4.84,-4.5,-4.5,8,7,0,0,6.5,2,9,3,1.75,5,-5.5,13.75,13.75,19%,$5.19,19.25,19.25,25%,$3.93,10.75,10.75,22%,$4.49,
R3,GRAFTON,14,SPOILER,$2.11,$19.00,$7.45,$60.67,$8.32,4.82%,0.75,5,6,9,4.75,0,6,7,6,6,6,3,5,5,21,5,0,0,2.2,x647,17,Average,4U-P,On-Pace,0.83,1,3-F,55.5,0,-254,6,L P ROLLS,FLEUR BLANCH,19,22.46,20.73,-1.5,-1.5,5,5,0,0,-0.5,0,7.8,0,1.75,5,-5.5,9.55,9.55,13%,$7.45,9.05,9.05,12%,$8.32,0.75,0.75,2%,$60.67,
R4,GRAFTON,1,DARKLEY,$13.79,$2.90,$5.92,$3.18,$2.82,14.99%,17.25,1,1,3,1,4,1,5,1,1,3,2,1,1,484,2,50,0,4.1,14x,5,Average,FU-BK,Off Midfield,0.33,3,6-G,58.5,-2,-274,3,A MALLYON,B MALLYON,10,3.34,6.67,0,,9,9,0,8,11.5,5,7,5,-1.75,,2.5,10.25,10.25,17%,$5.92,21.75,21.75,35%,$2.82,17.25,17.25,31%,$3.18,
R4,GRAFTON,5,SUPREME HERO,,$81.00,,,,3.15%,,9,9,17,8,0,9,9,8,8,8,8,,8,21,9,22,0,1.9,0x77,24,Average,3U-P,On-Pace,0.83,1,6-G,56.5,-2,-4,4,A GIBBON,S EVERSON,31,32.57,31.785,20.5,20.5,1,2,0,0,-7.5,-2,,-3,0.25,,-5.5,-2.75,0,0%,"$1,000.00",-9.25,0,0%,"$1,000.00",,,,,
R4,GRAFTON,6,DUBAI DAME,$4.71,$8.50,$6.10,$9.47,$3.52,8.51%,5.75,3,5,7,3.5,0,4,5,5,6,4,3,4,3,41,6,33,0,4.4,0341,8,Average,5U-OM,Off-Pace,0.67,2,4-M,56,-1,-394,6,COURTNEY BELLAMY,SAMANTHA MCGUREN,10,13.49,11.745,-0.5,-0.5,6,5,0,0,8.5,1,7.2,2,0.75,0,-5.5,9.95,9.95,16%,$6.10,17.45,17.45,28%,$3.52,5.75,5.75,10%,$9.47,
R4,GRAFTON,7,THROWNUNDERTHEBUS,$11.43,$3.50,$4.77,$4.87,$2.89,24.63%,11.25,1,2,3,1.25,5,2,1,2,3,1,1,2,2,19,7,43,50,4.3,2215,8,Average,5U-M,Midfield,0.39,1,3-F,55.5,-2,-169,1,K MATHESON,J SHELTON,3.6,4.52,4.06,-1,-1,8,8,0,3,8.5,4,7.5,4,1.25,0,-2.5,12.75,12.75,21%,$4.77,21.25,21.25,35%,$2.89,11.25,11.25,20%,$4.87,
R4,GRAFTON,8,GOT THE SMARTS,,$4.50,$10.51,,$11.59,20.70%,0,4,3,9,2.5,0,3,2,3,6,2,6,6,6,29,3,33,0,2.1,79x1,17,Average,SU-BK,Backmarker,0.17,5,5-M,55,-2,106,5,MS SIENA GRIMA,SAMANTHA MCGUREN,4.2,5.46,4.83,4.5,4.5,7,7,0,0,-0.5,3,1,3,1.75,-5,-5.5,5.75,5.75,9%,$10.51,5.25,5.25,9%,$11.59,-6.25,0,0%,"$1,000.00",
R4,GRAFTON,12,ROMI,,$19.00,$6.56,$5.61,$5.69,5.97%,9.75,5,4,10,2.75,0,6,3,7,1,7,4,3,4,27,14,50,0,1.5,6301,14,Average,9U-OP,Off-Pace,0.61,2,4-M,55,-2,0,4,P GRAHAM,SAMANTHA MCGUREN,6.5,26.98,16.74,-1,-1,4,3,0,11,2.5,-1,7.5,0,1.75,0,5.5,9.25,9.25,15%,$6.56,10.75,10.75,17%,$5.69,9.75,9.75,18%,$5.61,
R4,GRAFTON,13,RUM REVOLUTION,,$21.00,$9.67,,$6.28,7.44%,0,6,7,12,4.75,1,7,7,4,8,6,5,5,5,21,18,22,50,2.1,4204,16,Average,6U-BK,Midfield,0.50,5,5-M,55,0,-4,0,MS SHAE WILKES,FLEUR BLANCH,14,12.89,13.445,1.5,1.5,3,6,0,0,0.5,2,5.5,-1,1.75,0,-5.5,6.25,6.25,10%,$9.67,9.75,9.75,16%,$6.28,-4.25,0,0%,"$1,000.00",
R4,GRAFTON,16,SOUTH BOAMBEE,,$12.00,,,,7.88%,,7,6,14,4.5,0,5,4,6,4,5,9,,9,30,5,40,0,4.2,0x37,20,Average,3U-M,Midfield,0.44,5,3-G,55.5,-3,-44,2,R SPOKES,W DEAN,8,17.37,12.685,11,11,5,4,0,11,-3.5,0,-8,1,1.25,-5,5.5,-5.75,0,0%,"$1,000.00",-10.25,0,0%,"$1,000.00",,,,,
R4,GRAFTON,17,ROXNROL,,$34.00,,,,2.71%,,8,8,15,6.75,2,8,8,9,5,9,7,,7,27,18,39,100,1.8,4983,20,Average,8U-M,Off-Pace,0.56,5,5-M,55,0,-175,5,A ALLEN,J SHELTON,21,52.74,36.87,5,5,2,1,0,0,-3.5,-3,1,-2,1.75,-5,-5.5,0.75,0.75,1%,$75.28,-3.75,0,0%,"$1,000.00",,,,,
R5,GRAFTON,2,CARACORON,,$7.50,$21.35,,$11.52,6.49%,0,4,5,11,4.5,5,4,8,4,5,5,7,6,7,27,7,29,100,3.5,55x3,13,Average,SU-M,Midfield,0.42,1,4-G,59,2,0,7,MS SHAE WILKES,S LEE,20,10.84,15.42,1.5,1.5,10,10,1,0,3.5,-1,5.5,-1,-1.75,0,-5.5,2.75,2.75,5%,$21.35,6.25,6.25,9%,$11.52,-4.75,0,0%,"$1,000.00",
R5,GRAFTON,5,RISK FOR REWARD,$7.27,$5.50,$6.44,$6.55,$4.60,14.04%,7.25,3,3,5,2.5,0,2,2,3,3,3,3,3,3,27,5,40,40,1.9,2x44,10,Average,3U-OP,Off-Pace,0.58,3,4-G,59,0,0,1,NORIYUKI MASUDA,D CHUJO,5.5,8.75,7.125,-2.5,-2.5,11,11,0,0,6.5,3,8,3,-1.75,5,-5.5,9.25,9.25,15%,$6.44,15.75,15.75,22%,$4.60,7.25,7.25,15%,$6.55,
R5,GRAFTON,6,SPRING RESULT,,$126.00,,,,0.81%,,13,13,24,11.25,0,13,13,13,10,13,11,,11,17,2,0,0,3.2,09,19,Average,3U-BK,Backmarker,0.17,3,5-G,59,0,-40,8,MS K ADAMS,T HIGGINS,71,177.07,124.035,10.5,10.5,1,1,1,0,-2.5,-5,-5,-5,-1.75,-5,-5.5,-11.75,0,0%,"$1,000.00",-14.25,0,0%,"$1,000.00",,,,,
R5,GRAFTON,7,THE RIDDLER,,$26.00,,,$16.85,9.12%,0,8,6,16,4.75,3,8,4,5,6,4,8,8,8,27,20,25,0,2.6,6x47,17,Average,3U-OM,Backmarker,0.03,2,5-G,59,0,0,3,D PEISLEY,D WHEELER,7.5,14.42,10.96,1.5,1.5,5,9,0,0,-0.5,1,5.5,-3,-1.75,0,-5.5,0.75,0.75,1%,$74.07,4.25,4.25,6%,$16.85,-10.75,0,0%,"$1,000.00",
R5,GRAFTON,8,ROCK THE MACHINE,,$26.00,,,,3.92%,,9,10,17,8.25,0,8,9,8,10,8,9,,10,19,4,0,0,2.2,9x58,22,Average,3U-BK,Backmarker,0.13,5,3-G,57.5,0,210,9,L P ROLLS,J SHELTON,26,24.97,25.485,3.5,3.5,5,6,1,0,-5.5,-5,2,-5,-0.25,-5,-5.5,-3.25,0,0%,"$1,000.00",-8.75,0,0%,"$1,000.00",,,,,
R5,GRAFTON,9,ITSALLSAIDANDONE,,$17.00,$8.21,$11.12,$6.73,5.39%,4.25,4,4,11,3.75,0,7,3,9,9,7,4,4,4,21,14,21,100,3.9,5722,11,Average,11U-OP,Off-Pace,0.67,1,4-M,57,1.5,0,2,COURTNEY BELLAMY,D DWANE,6.5,30.64,18.57,-3,-3,7,5,0,0,5.5,-3,8,-1,0.25,5,-5.5,7.25,7.25,12%,$8.21,10.75,10.75,15%,$6.73,4.25,4.25,9%,$11.12,
R5,GRAFTON,10,KOBAYTERA,$7.27,$5.50,$5.31,$4.64,$3.68,21.05%,10.25,2,2,4,1.5,0,2,1,2,2,1,2,2,2,21,5,60,0,4.3,x333,9,Average,4U-OP,Midfield,0.50,3,4-M,57,0,150,4,MATTHEW MCGUREN,SAMANTHA MCGUREN,4.4,5.1,4.75,-3,-3,11,12,0,0,7.5,4,8,3,0.25,5,-5.5,11.25,11.25,19%,$5.31,19.75,19.75,27%,$3.68,10.25,10.25,21%,$4.64,
R5,GRAFTON,11,MAGIC SHANNON,,$16.00,$12.47,,$8.75,5.96%,0,4,7,11,5,0,6,7,6,4,6,5,6,5,11,13,31,0,1.8,6733,13,Average,6U-M,Off Midfield,0.21,5,6-M,57,0,210,8,P GRAHAM,T HIGGINS,15,18.56,16.78,-1,-1,8,8,1,0,3.5,-3,7.5,-3,0.25,0,-5.5,4.75,4.75,8%,$12.47,8.25,8.25,11%,$8.75,-4.75,0,0%,"$1,000.00",
R5,GRAFTON,12,SASKATOON BERRY,,$34.00,,,,3.58%,,12,9,23,8,4,10,6,10,6,10,13,,13,23,20,25,25,1.8,49x6,19,Average,SU-M,Backmarker,0.07,1,5-M,57,0,195,6,A ALLEN,FLEUR BLANCH,11,44.87,27.935,12.5,12.5,3,4,0,0,-2.5,-4,-10,-5,0.25,-5,-5.5,-14.75,0,0%,"$1,000.00",-16.25,0,0%,"$1,000.00",,,,,
R5,GRAFTON,13,CHILLCUZ,$13.79,$2.90,$4.19,$3.03,$2.53,16.26%,15.75,1,1,2,1,1,1,5,1,1,2,1,1,1,17,1,100,0,3.6,2,2,Average,SU-M,Off Midfield,0.29,5,3-F,55.5,0,160,5,A MALLYON,K LEES,9,3.3,6.15,-1,-1,13,13,0,0,14.5,5,7.5,5,1.75,0,-5.5,14.25,14.25,24%,$4.19,28.75,28.75,39%,$2.53,15.75,15.75,33%,$3.03,
R5,GRAFTON,14,GERRYS PICK,,$14.00,$15.75,$59.93,$8.75,3.87%,0.75,4,8,11,5.25,2,5,10,7,10,9,6,5,5,19,2,0,0,3.3,64,10,Average,3U-M,Off Midfield,0.25,5,3-F,55.5,0,210,8,A GIBBON,A PARRAMORE,31,20.62,25.81,2.5,2.5,9,7,1,0,6.5,-4,4,-2,1.75,0,-5.5,3.75,3.75,6%,$15.75,8.25,8.25,11%,$8.75,0.75,0.75,2%,$59.93,
R5,GRAFTON,17,WHATEVER IT TAKES,,$34.00,,,,1.88%,,10,11,21,9.5,0,10,11,11,6,11,11,,12,23,8,25,0,3.5,60x4,20,Average,SU-M,Off Midfield,0.33,2,7-G,59,0,195,8,R SPOKES,GRADY SPOKES,41,65.3,53.15,10,10,3,3,1,0,-3.5,-5,-5,-5,-1.75,-5,-5.5,-11.75,0,0%,"$1,000.00",-15.25,0,0%,"$1,000.00",,,,,
R5,GRAFTON,18,BEEARETEE,,$51.00,,,,1.07%,,11,12,22,10,0,12,11,12,10,12,10,,9,17,2,0,0,3.2,7x0,17,Average,SU-BK,Backmarker,0.10,5,3-G,57.5,-1,360,2,N TOMAZAWA,SHANNON MANWARRING,41,145.44,93.22,19.5,19.5,2,2,0,0,-0.5,-5,,-5,-0.25,,-5.5,-5.25,0,0%,"$1,000.00",-5.75,0,0%,"$1,000.00",,,,,
R6,GRAFTON,1,DRAFT DAY,,$11.00,,,,4.88%,,9,8,17,6.75,3,6,9,6,8,7,11,,10,27,22,18,0,1.9,6668,20,Average,7U-OP,Midfield,0.44,5,6-G,61,3,0,4,NORIYUKI MASUDA,ETHAN ENSBY,26,14.95,20.475,10,10,6,6,0,0,-3.5,0,-5,0,-3,-5,-5.5,-8,0,0%,"$1,000.00",-11.5,0,0%,"$1,000.00",,,,,
R6,GRAFTON,2,STOINKA,,$6.50,$13.59,,$2.82,13.11%,0,4,3,9,2.5,0,3,4,3,1,4,6,4,3,30,29,45,25,4.2,3332,8,Average,9U-OP,Midfield,0.50,3,5-G,60.5,-3.5,10,5,K MATHESON,D DWANE,7,8.25,7.625,3.5,3.5,9,9,0,0,8.5,3,2,3,-2.5,-5,-5.5,2.5,2.5,7%,$13.59,11,11,35%,$2.82,-1.5,0,0%,"$1,000.00",
R6,GRAFTON,3,HARDLEY GREY,$10.00,$4.00,$4.57,$1.33,$2.21,22.73%,14.5,1,1,4,1,5,2,1,2,1,1,2,1,1,19,47,45,60,2.6,2235,10,Average,15U-OP,Off Midfield,0.33,5,6-G,59.5,-0.5,10,1,D PEISLEY,O GLUE,4.2,4.6,4.4,2,2,10,10,0,11,6.5,4,5,4,-1.5,0,5.5,7.5,7.5,22%,$4.57,14,14,45%,$2.21,14.5,14.5,75%,$1.33,
R6,GRAFTON,4,SAXINOUE,$11.43,$3.50,$8.54,$19.01,$2.69,21.21%,1,1,2,4,1.5,1,1,2,1,5,2,3,2,2,27,3,33,0,4.3,41x4,9,Average,SU-M,Backmarker,0.13,3,3-G,59,4,229,3,MATTHEW MCGUREN,M DUNN,5,4.43,4.715,6.5,6.5,11,11,0,0,7.5,5,0,5,-1,-5,-5.5,4,4,12%,$8.54,11.5,11.5,37%,$2.69,1,1,5%,$19.01,
R6,GRAFTON,5,CELEBRITYS BEAU,,$21.00,$22.45,,,5.41%,,7,7,15,6,0,8,7,7,4,6,7,,8,23,14,36,67,2.2,x290,21,Average,4U-M,Off-Pace,0.67,1,6-G,57.5,-5,-205,9,L P ROLLS,SAMANTHA MCGUREN,16,20.99,18.495,1,1,3,5,1,0,-4.5,-4,6,-5,0.5,0,-5.5,1.5,1.5,4%,$22.45,-2,0,0%,"$1,000.00",,,,,
R6,GRAFTON,7,I AM CONVINCING,,$8.00,$11.35,,,14.04%,,4,5,9,3.25,0,4,3,4,3,3,5,,6,19,24,38,50,3.6,2983,20,Average,10U-OP,Midfield,0.39,1,7-G,57,0.5,10,7,A MALLYON,T M WHITTINGTON,5.5,8.74,7.12,2.5,2.5,7,8,1,8,-3.5,-1,4,-2,1,0,2.5,3,3,9%,$11.35,0.5,0.5,2%,$58.51,,,,,
R6,GRAFTON,8,THE COAT HANGER,$5.00,$8.00,$4.29,,$8.80,10.80%,0,3,4,5,3,0,4,5,5,6,5,1,3,4,17,27,26,100,3.5,x001,21,Average,4U-P,On-Pace,0.83,1,5-M,57,4,-40,6,MS SIENA GRIMA,S MORTON,9.5,9.01,9.255,1,1,7,7,0,8,-4.5,1,6,1,1,0,2.5,8,8,23%,$4.29,3.5,3.5,11%,$8.80,0,0,0%,"$1,000.00",
R6,GRAFTON,10,CHARLES RENNIE,,$17.00,$9.75,,$10.25,3.21%,0,6,6,11,5.25,2,7,11,8,7,9,4,5,5,20,8,25,0,3.3,1583,16,Average,5U-M,Backmarker,0.04,3,6-G,55.5,-4,210,1,A GIBBON,MS L SHEPPARD,41,21.36,31.18,4,4,5,4,0,3,0.5,-2,2,-1,2.5,-5,-2.5,3.5,3.5,10%,$9.75,3,3,10%,$10.25,-5.5,0,0%,"$1,000.00",
R6,GRAFTON,11,DAWN COMMAND,,$81.00,,,,1.13%,,10,10,19,9.25,0,10,8,11,11,11,9,,10,19,10,10,0,3.9,x060,26,Average,4U-BK,Off Midfield,0.25,4,7-G,55,-1,10,5,COURTNEY BELLAMY,P EVANS,20,156.63,88.315,6,6,2,1,0,0,-9.5,-5,0,-4,3,-5,-5.5,-1,0,0%,"$1,000.00",-11.5,0,0%,"$1,000.00",,,,,
R6,GRAFTON,12,WOTSIT,,$21.00,,,,4.71%,,8,9,16,7.25,0,8,6,9,8,8,8,,7,19,11,18,0,3.5,0477,18,Average,12U-OM,Backmarker,0.08,3,4-G,55,-1,235,8,MS SHAE WILKES,JASON REILLY,14,28.47,21.235,3,3,3,3,1,3,-1.5,-5,3,-5,3,-5,-2.5,1,1,3%,$33.30,-0.5,0,0%,"$1,000.00",,,,,
R6,GRAFTON,14,UPLOADS,,$101.00,,,,1.20%,,11,11,21,9.75,0,11,10,10,10,10,10,,9,20,34,15,0,3.2,90x7,26,Average,SU-BK,Backmarker,0.17,3,6-G,55,-2,210,2,N TOMAZAWA,J SMITH,31,136.11,83.555,16,16,1,2,0,0,-9.5,-4,,-5,3,,-5.5,-2,0,0%,"$1,000.00",-10.5,0,0%,"$1,000.00",,,,,
